,title,org,desc
446,Help deliver meals to area seniors!,"norVOLution, Norwood's Volunteer Revolution","Do you have extra time on your hands? Have a desire to help others? Norwood Seniors Network, located in the Norwood Park neighborhood, is..."
447,Homework Helper-Fall 2019,"Youth and Opportunity United, Inc.",Out-of-School Time (OST) Program Volunteers Volunteers commit at least one day a week during the school semester to encourage youth...
448,Help out with programs for Participants with developmental disabilities,Our Place,"Join participants in numerous different programs, including sports, art therapy, interactive games, and more! You may help staff by..."
449,Food Pantry Workers,AWOFINC,Assist with the food pantry. Set up and clean up of preparation area. Assist in preparing food bags and boxes for community residents....
450,Book Selector for Teacher Resource/Theme Bags,Skokie Public Library,"If you love children's books, enjoy picking out just the right book for a child, and don't mind getting lost in the stacks, then we have..."
451,Homebound Book Driver,Skokie Public Library,Homebound Job Description Driver Person will deliver materials to patrons every three weeks. Duties and Responsibilities Will arrange...
452,Book Club for the Disabled,Skokie Public Library,"Position: Let's Get Together Book Club Major Objective: To facilitate reading, discussion, and related activities in a weekly book club..."
453,Family Resource Center Volunteer Opportunities in Chicago (Midpointe),"Project Access, Inc.","Project Access is a non-profit organization, with the mission to be the leading provider of vital on-site health, education and..."
454,Love Puppies?   Want to make a difference is someone's life?,Paws With A Cause,Paws With A Cause is currently looking for volunteers to raise our future Assistance Dogs. A puppy is placed in your home at 8 weeks of...
455,Share your pets unconditional love with a Hospice patient,Heartland Hospice,Volunteers are the HEART of Heartland Hospice! We are looking for more pet therapy teams to join our growing team of amazing volunteers!...
456,Bring a Smile to a Hospice Patient!,Heartland Hospice,"Volunteers are the HEART of Heartland Hospice! We are looking for special individuals who live in oak Lawn, Burbank and surrounding..."
457,Bedside Pinning Ceremony for Veterans on Hospice,Heartland Hospice,"Heartland Hospice a not-for-profit, are seeking persons that have served in the US Military and ROTC students 18 and older to perform a..."
458,Transportation Volunteers Needed,Interfaith Community Partners,Can you spare an hour or more a week to drive an older adult? Interfaith Community Partners is a non-profit organization that works...
459,Foster Homes for Cats and Dogs,Magnificent Mutts & Meows Rescue,We are looking for warm-hearted individuals to foster a dog or cat in their home. The only thing required of our foster parent is to love...
460,Bunker Hill North Flatwoods Volunteer Habitat Restoration Workday,Friends of the Forest Preserves,The plants and animals at Bunker Hill North Flatwoods need your help! Join an inspiring movement of volunteers gathering to care for this...
461,Become an Avenues to Independence Thrift Shoppe Volunteer!,Avenues to Independence,Do you have an eye for antiques? Love talking and meeting new people? Volunteer at the Avenues Thrift Shoppe! We are currently looking...
462,Volunteer Thrift Shop Associate,"norVOLution, Norwood's Volunteer Revolution",The nonprofit Norwood Life Society Thrift Shop has been a part of the fabric of the Norwood Park community for over 30 years. People know...
463,Volunteer to help older adults!,"norVOLution, Norwood's Volunteer Revolution","NorVOLution, Norwood Life Society's volunteer organization in Chicago's Norwood Park community, is looking for volunteers of all kinds!..."
464,Help Children in Need - Chicago,LUTHERAN CHILD AND FAMILY SERVICES OF ILLINOIS,"LCFS is looking for volunteers at our Chicago office. Your time, talent and energy will make a difference. Be an important part of..."
465,Food Pantry Volunteers in West Suburban Chicago,Share Food Share Love Food Pantry,We are looking for volunteers to staff the food pantry during regular distribution hours which are: Tuesday evenings from 7:00 p.m. to...
466,Grow Food for Westchester Food Pantry,Immanuel Old Schoolhouse Community Garden &...,"Plant, tend, grow and harvest fresh produce for Westchester Food Pantry."
467,Grow your own Garden Bed,Immanuel Old Schoolhouse Community Garden &...,Plant and Grow your own food.
468,Come Grow With Us-Community Gardening,Immanuel Old Schoolhouse Community Garden &...,"Garden Beds Available for Growing Your Own Organic Produce Gardening and Maintaining Existing Growing Beds Planting, Growing and..."
469,Community Outreach Volunteer,NAMI METRO SUBURBAN INC,"NAMI Metro Suburban is seeking a volunteer who believes in our mission of improving the lives of individuals, families, and communities..."
470,EPD/Patient Transport,Advocate Christ Medical Center / Volunteer...,"Retrieve/clean equipment, fill equipment orders, deliver equipment, deliver wheelchairs, carts and other related duties. Times needed is..."
471,Snow Removal Help for Seniors,The Center of Concern,Grab a shovel and some friends! We are looking for winter warriors to help with snow removal/shoveling for isolated seniors in the Maine...
472,Concierge!  Bring compassion to the sick,Amita Health Saint Francis Hospital Evanston,"In addition to delivering excellent care and service, we want to inspire people to see their health in a new way. More than doctor visits..."
473,Hospice Volunteer,Advocate Hospice,In the Western suburbs of Chicago. To supporting terminally ill patients and their families by offering a compassionate presence. You...
474,Academic Tutor - Chicago Metro South,AWOFINC,"The duties of the tutor include providing students with academic support during assigned hours, developing academic materials and lessons..."
475,Friendly Visitor,The Center of Concern,Help area seniors overcome loneliness by becoming a friendly visitor to provide conversation and companionship. Visits can also include...
476,Office Support,Mental Health Association GC (MHAGC),We are a small group in the office and we have a relaxed atmosphere with a lot of work! R(High performing volunteer will receive $25 -...
477,Meal Delivery in Franklin Park,Meals on Wheels Foundation of Northern Illinois,The Meals on Wheels Foundation of Northern Illinois is looking for volunteers to deliver meals to homebound seniors. We serve lunch every...
478,"Meal Delivery in Hometown, IL",Meals on Wheels Foundation of Northern Illinois,"Meals on Wheels is looking for volunteers to deliver meals to homebound seniors. We serve lunch every Monday-Friday, so our volunteers..."
479,"Meal Delivery in Brookfield, IL",Meals on Wheels Foundation of Northern Illinois,"Meals on Wheels is looking for volunteers to deliver meals to homebound seniors. We serve lunch every Monday-Friday, so our volunteers..."
480,"Meal Delivery in Melrose Park, IL",Meals on Wheels Foundation of Northern Illinois,The Meals on Wheels Foundation of Northern Illinois is looking for volunteers to deliver meals to homebound seniors. We serve lunch every...
481,Kickapoo Woods Stewardship Workday,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
482,Whistler Woods Stewardship Workday,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
483,Winter Celebration - Whistler Woods,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
484,Whistler Woods Stewardship Workday,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
485,Comfort Seniors in Bensenville!,Residential Hospice,We are looking for someone to provide support to hospice patients in the Bensenville area. Your presence alone can make someone feel...
486,Villa Park Veterans looking for Veteran Volunteers,Residential Hospice,"We are looking for individuals who really want to make a difference for Veteran seniors in their community, by connecting with them on a..."
487,Elmhurst area Pet Therapy Hospice Volunteer,Rainbow Hospice and Palliative Care,Patient Support volunteers with a pet companion are part of the interdisciplinary team and provide support in various settings including...
488,Board Member Openings with The Volunteer Center!,The Volunteer Center,The Volunteer Center currently has openings on its Board of Directors for adults who are interested in helping promote volunteerism and...
489,Bensenville needs VOLUNTEERS like YOU!,Girl Scouts of Greater Chicago and Northwest...,Girls in Bensenville need inspiring leaders - people like you! We are looking for people to share their time and talents with girls in...
490,Addison needs VOLUNTEERS like YOU!,Girl Scouts of Greater Chicago and Northwest...,Girls in Addison need inspiring leaders - people like you! We are looking for people to share their time and talents with girls from...
491,"""Honoring Those Who Served"" Cleanup",CLEAN UP - GIVE BACK ORG,"Clean all along Ballard, Bender Road and down to the War Memorial at Rand. We will honor those who served our country! Bring just..."
492,Help Us Feed the Community- Volunteer at Our Food Pantry! (Westmont),People's Resource Center,"Help us provide food to neighbors in need in the community! Unpack boxes, restock shelves, and assist shoppers as they select food at our..."
493,Living History Museum Volunteer,Bensenville Park District,Fischer Farm is looking for individuals who love to share knowledge to the public. The museum is in need of individuals who would be...
494,Corporate Group Volunteering,CLEAN UP - GIVE BACK ORG,"Clean Up - Give Back organizes cleanup campaigns within a 1-hour drive from Des Plaines, IL. We will locate places for your group to..."
495,Join a Cleanup Campaign to Help the Environment,CLEAN UP - GIVE BACK ORG,We organize cleanup campaigns in the Chicagoland Area. Opportunities are posted on our website. Have a group of four or more? We will...
496,Volunteer Animal Handler,Bensenville Park District,"Do you like spending time with animals? Here at the farm, we are looking for individuals to handle our animals and socialize them with..."
497,Check In Needy Clients,Catholic Charities Service Center,We offer homeless and needy clients a food pantry and closet. We need caring volunteers to check clients in to our system so that they're...
498,Administrative Help In Serving the Needy,Catholic Charities Service Center,"We strive to serve the homeless and needy in many ways, by offering free suppers, a food pantry, a closet and help with social services...."
499,Butterfly Ball,RAY GRAHAM ASSOCIATION FOR PEOPLE WITH...,In need of volunteers for Ray Graham's 45th annual The Butterfly Ball. This is a fundraiser that helps support over 2000 people with...
500,Make A Difference NOW! - Visit Hospice Patients in Your Area (Burr Ridge),Providence Hospice,Friendly Visitor volunteers regularly visit hospice patients to offer comfort and support to them and their families. This is a special...
501,Elmhurst area Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
502,Midlothian area Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
503,Archives Assistant,Hinsdale Historical Society,"Archives Assistants help staff the Roger and Ruth Anderson Architecture Center, a community resource for regional architecture which..."
504,"Be the Change! ESL Volunteer in Glenview, IL",St. Joseph Services,We offer talented individuals the opportunity to lend their knowledge of the English language to our enthusiastic adult students....
505,Museum Docent,Hinsdale Historical Society,"Museum Docents guide visitors through the Hinsdale History Museum, a restored 1874 house representing a middle-class Hinsdale family home..."
506,Kickapoo Woods Stewardship Workday,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
507,Whistler Woods Stewardship Workday,Friends of the Forest Preserves,"You will be working at a Forest Preserve, cutting down invasive brush and burning it in a brush pile. It is an incredible opportunity to..."
508,Ambulatory Surgery Volunteer,Advocate Lutheran General Hospital,Offer patients and family members assistance and comfort in our Ambulatory Surgery department that performs same-day surgeries. Assist...
509,Flower Shop Volunteer,Advocate Lutheran General Hospital,You will be surrounded by beautiful flowers and enticing fragrances as you assist customers in our Flower Shop. You will be helping with...
510,Home Delivered Meals Drivers,Advocate Lutheran General Hospital,Our Home Delivered Meals program provides hot lunches to homebound elderly or disabled individuals in the community. Volunteers pickup...
511,Transport Local Food Donations to our Food Pantry! (Westmont),People's Resource Center,"Pick up donations from an area grocery store or restaurant each week, and deliver the items to the Westmont location Food Pantry. What..."
512,Greater Hammond Food Pantry Opportunities,Greater Hammond Community Services,"Volunteers help unload and sort, inspect and categorize donated food products (such as dry good and produce). Help keep area and cooler..."
513,Volunteer Opportunity in Nature!,BackYard Nature Center,BackYard Nature Center connects children and adults with the wonders of nature in New Trier Township. We do this by developing events and...
514,"Gift Shop & Dining ""To Go"" Steward",PEACE VILLAGE,"Peace Village is looking for volunteers to staff our Gift Shop and take dining ""To Go"" orders on the phone. Shifts available..."
515,Driver,PEACE VILLAGE,"This opportunity will involve driving residents to local appointments (doctor, hair, etc.) or stores, light shopping, etc. Must be 18 or..."
516,Dining Assistant Volunteer,PEACE VILLAGE,Peace Village is looking for Dining Assistant Volunteers in our dining room M-Sat 3:30 to 6:30 and Sun 11:00am-2:00pm. The position would...
517,Choir Director,PEACE VILLAGE,Peace Village is looking for a choir Director to coordinate 3 concerts per year (with 2-3 practices per concert). We are also looking for...
518,Activity Assistant For Assisted Living Residents,PEACE VILLAGE,"Peace Village is looking for individuals to help our assisted living residents during activities, ideally M, W, Th or F mornings and/or..."
519,Musicians,PEACE VILLAGE,Peace Village is looking for musicians of any kind to perform for our residents during the week or on Sundays from 4:00 p.m. to 5:00 p.m....
520,Memory Care Volunteer,PEACE VILLAGE,Peace Village is looking for individuals who are interested in spending time with some of our residents carrying on conversations or just...
521,Coupon Clipping Coordinator - Supporting Military Famlies,PEACE VILLAGE,Support Military Families overseas. Peace Village is looking for a Coordinator for our Clippin' for the Cause group. This is a resident...
522,Building & Grounds Maintenance,PEACE VILLAGE,"Looking for maintenance or trades persons who can help residents and staff with basic maintenance including Power Washing, External..."
523,Break the language barrier. One conversation at a time.,Literacy DuPage,"Change Someone’s Future Bridge the language gap by tutoring an adult English! As a volunteer tutor, you will teach an adult to..."
524,High School Students - Help Hospice Patients with your Organizing Skills!,Kindred Hospice,Are you looking for a way to help your community for a few hours a week? Do you have some time after school and not mind doing a little...
525,Escorted Transportation Service Drivers,North Shore Senior Center,"Drive to make a difference!! Everyday seniors in your neighborhood miss important medical appointments, simply because they couldn't get..."
526,Volunteer for ongoing community programs that transform lives of children and adults,Assistance League Chicagoland West,"Assistance League Chicagoland West members believe that a small gesture can influence a life, and that need exists even in the midst of..."
527,House of Welcome Program Assistants,North Shore Senior Center,Make a difference in the lives of persons with memory loss by interacting with participants in the home-like setting of the House of...
528,Content/ Article Writer,North Shore Senior Center,Like to write? We are seeking a creative writing volunteer who is interested in contributing to Engage- North Shore Senior Center's...
529,Compassionate Crafters Needed!,Kindred Hospice,"Are you part of a group of fun crafters who are looking for a new project? Do you knit, crochet, quilt, scrapbook, or have another..."
530,Senior and Family Services Office Administrative Assistance (Niles),North Shore Senior Center,Work with North Shore Senior Center Coordinators to assist seniors in need in our Niles office. Contact clients by phone for monthly...
531,Welcome Desk Ambassador,North Shore Senior Center,Greet members and visitors to North Shore Senior Center at the Welcome Desk; you are the first face they see when visiting. Help people...
532,Help ESL Adults Practice their English- Lead a Conversation Group!,People's Resource Center,Meet weekly with a small group of adult students at our Westmont location to facilitate a casual group conversation in English. The goal...
533,Receptionist -Monday Morning and/or Tuesday Afternoons,The Center of Concern,"Be the first friendly face to welcome guests by greeting them at our front desk. Duties would include answering phones, taking detailed..."
534,Change a Life: Become a Literacy Volunteer!,Literacy DuPage,"Change Someone’s Future Bridge the language gap by tutoring an adult English! As a volunteer tutor, you will teach an adult to..."
535,Hospice CareCenter Volunteer - Glenview,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers to serve at our Hospice CareCenter in...
536,Hospice Care Companion- Lombard Area,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare's Care Companion volunteers support hospice patients and families in...
537,Massage Therapist - Hospice Volunteer,JourneyCare,Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers who are Licensed Massage Therapists and/or...
538,Bouquet of Care- Glenview,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
539,Team Care Coordinator Assist- Glenview,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
540,Hospice Care Companion- Western Suburbs,JourneyCare,No experience necessary! Volunteer in your community and set your own schedule! JourneyCare's Care Companion volunteers support hospice...
541,Become a Gallery Guide at Elmhurst Art Museum!,Elmhurst Art Museum,EAM Gallery Guide Experience the excitement of enhancing the museum experience for all visitors by providing a welcoming and friendly...
542,Become an Event/Projects Volunteer at the Elmhurst Art Museum!,Elmhurst Art Museum,EAM Events/Projects Volunteer For EAM events the Events/Projects Volunteer will provide essential support to Elmhurst Art Museum staff at...
543,Human Resources - file clerk,Ingalls Hospital,"Under the direct supervision of the Coordinator of Human Resources, the volunteer is responsible for adding material to hard copy files..."
544,Main Information Desk Escort/Ambassador,Ingalls Hospital,"Under the direct supervision of the Manager of Volunteer Services, the Main Information Desk Escort/Ambassador is responsible for..."
545,Shelter Animal Caretaker,St. Sophia's Forgotten Felines,"St. Sophia's Forgotten Felines has cats and that live at our shelter in Westmont. And, we need YOU to help care for them while they await..."
546,Cat Wrangler and Outreach Assistant,St. Sophia's Forgotten Felines,Love cats? Love people? Are you able to handle stupid questions politely? Can you wrangle cats and kittens like the best of the best?...
547,Cat Foster Homes Needed,St. Sophia's Forgotten Felines,"It is unfortunate that there are many cats and kittens without homes, and St. Sophia’s strives to be the best in Temporary Care for..."
548,"Kennel Assistants Needed (Petco, Willowbrook)",St. Sophia's Forgotten Felines,"St. Sophia's Forgotten Felines has cats and kittens living at the Petco in Willowbrook on Kingery Highway. And, we need Kennel Helpers!..."
549,TUTORS FOR OUR STUDY BUDDIES PROGRAM,Youth Services,The Study Buddies Program is a free academic-support program designed to help children in grades 1st - 8th with their homework. The...
550,Become a Docent at Elmhurst Art Museum,Elmhurst Art Museum,"EAM Docent Join EAM’s Docent Corps. Experience the excitement that comes from a continuing education experience of field trips,..."
551,English as a Second Language (ESL) Volunteer Tutor,Corazon a Corazon (Heart to Heart),Are you looking for a rewarding opportunity? Do you wish to make a difference? Join us in our mission to unite our communities through...
552,Mim's Shop at the Center,North Shore Senior Center,"Mim's Shop is seeking volunteers to provide customer service, man the check-out station, and help prep donated items to be placed for sale."
553,Help CUB spread the word about Energy Efficiency!,Citizens Utility Board,CUB’s coming to your community and we need your help. We’re building a volunteer team to educate your neighbors about big...
554,Help CUB spread the word about Energy Efficiency!,Citizens Utility Board,CUB’s coming to your community and we need your help. We’re building a volunteer team to educate your neighbors about big...
555,Help CUB spread the word about Energy Efficiency!,Citizens Utility Board,CUB’s coming to your community and we need your help. We’re building a volunteer team to educate your neighbors about big...
556,Help Foster & Adoptive Children - Oak Brook,LUTHERAN CHILD AND FAMILY SERVICES OF ILLINOIS,"LCFS is looking for volunteers at our Oak Brook and Oakbrook Terrace offices. Your time, talent and energy will make a difference. Be an..."
557,Meet a new senior friend! New Trier Friendly Visitors Needed,Argentium Care (formerly SASI),"Argentium Senior Connections, Family Service of Glencoe, and New Trier Township have partnered to bring Senior Connections' friendly..."
558,Associate Board Member,Lutheran Social Services of Illinois--Des Plaines,"Responding to the Gospel, Lutheran Social Services of Illinois (LSSI) brings healing, justice, and wholeness to people and communities...."
559,Direct Patient Care Volunteer - Cook County,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As a direct patient care volunteer, you will truly..."
560,Administrative Volunteer - Oak Brook,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As an administrative volunteer, you will have the..."
561,"Office Assistance - Burr Ridge, IL",Seasons Hospice and Palliative Care- Illinois,Join our dynamic team of healthcare professionals who provide hospice care to patients and their families. You will work in an office...
562,Animal Therapy: Friendly pet visits needed.,Seasons Hospice and Palliative Care- Illinois,Would you like to bring joy to patients and families going through the end-of-life experience? So many of us know the special bond we...
563,"Office Assistance - Des Plaines, IL",Seasons Hospice and Palliative Care- Illinois,Join our dynamic team of healthcare professionals who provide hospice care to patients and their families. You will work in an office...
564,We NEED your ENERGY in our office!,Seasons Hospice and Palliative Care- Illinois,Seasons Hospice and Palliative Care: Join our dynamic team of healthcare professionals who provide hospice care to patients and families....
565,Compassionate Volunteers Needed: To provide companionship and supportive presence.,Seasons Hospice and Palliative Care- Illinois,We need caring volunteers who would like to make a difference in the lives of people facing the end of their life. Our volunteers are...
566,Compassionate Listener: Become a bereavement caller.,Seasons Hospice and Palliative Care- Illinois,Bereavement Phone Callers needed!! Seasons Hospice and Palliative Care is looking for individuals who like to share and talk on the phone...
567,Creative Sewing Volunteers Needed: Sewing Team Member,Seasons Hospice and Palliative Care- Illinois,Do you love to sew? Are you creative? Seasons Hospice and Palliative Care is looking for individuals or groups of people who can share...
568,Direct Patient Care Volunteer - DuPage County,Capital Hospice and Palliative Care,"We are actively seeking caring and compassionate individuals to volunteer with us! As a direct patient care volunteer, you will truly..."
569,Bedside Pinning Ceremony for Veterans on Hospice,Heartland Hospice,"Heartland Hospice a not-for-profit, are seeking persons that have served in the US Military and ROTC students 18 and older to perform a..."
570,Chicago Land: Help veterans and shelter pets - Pets for Vets is seeking experienced...,"Pets for Vets, Inc.","Pets for Vets rescues, trains and matches shelter animals with veterans with PTSD snd TBI who could benefit from having a trained..."
571,Daisy Basket Gift Shop Volunteer,Advocate Good Samaritan Hospital,The Daisy Basket is owned and operated by the Auxiliary of Advocate Good Samaritan hospital. All profits from the Daisy Basket store are...
572,Resale Shop Volunteer (Advocate Good Samaritan Hospital),Advocate Good Samaritan Hospital,The Gingham Tree is owned and operated by the Auxiliary of Advocate Good Samaritan hospital. All profits from the Gingham Tress store are...
573,Advocate Good Samaritan Hospital - Various Positions,Advocate Good Samaritan Hospital,Volunteer at the Advocate Good Samaritan Hospital! There are a variety of locations and departments looking for enthusiastic volunteers!...
574,Information Desk Volunteer (Advocate Good Samaritan hospital),Advocate Good Samaritan Hospital,Are you friendly? Do you like to help people? Do you like to be active? If so... Volunteering at the Information Desk is for YOU!! At the...
575,Watersmeet Woods Volunteer Restoration Workday,Friends of the Forest Preserves,The plants and animals at Watersmeet Woods Forest Preserve needs your help! Join an inspiring movement of volunteers gathering to care...
576,Watersmeet Woods Volunteer Restoration Workday,Friends of the Forest Preserves,The plants and animals at Watersmeet Woods Forest Preserve needs your help! Join an inspiring movement of volunteers gathering to care...
577,Blue Star Woods Volunteer Habitat Restoration Workday,Friends of the Forest Preserves,The plants and animals at Blue Star Memorial Woods need your help! Join an inspiring movement of volunteers gathering to care for this...
578,Resale Shop Assistant,Des Plaines Community & Frisbie Senior Center,"Once & Again Resale is looking for assistants to help with upkeep of store. Job duties include: opening donated boxes, folding..."
579,Bingo Volunteers,Des Plaines Community & Frisbie Senior Center,"Seeking bingo volunteers for Fridays from 12:00PM to 3:00PM. Duties include but are not limited to; collecting money, handing out cards,..."
580,Once & Again Resale Shop Cashier,Des Plaines Community & Frisbie Senior Center,Once & Again Resale is looking for volunteers willing to cashier! Prior experience not necessary; training will be provided....
581,Caring People Needed to Illuminate Hope (for hospice patients),Loyola Medicine Hospice,"Hospice patients are those individuals who have six or fewer months to live. Caregivers are people, either family or hired, who care for..."
582,Senior Life - (Fridays),Ingalls Hospital,"Under the direct supervision of the Supervisor of Volunteer Services, the Senior Life Volunteer is responsible for performing various..."
583,Greeter / Information Desk,Ingalls Hospital,"Responsible for greeting and welcoming patients, family members, hospital staff, other volunteers and visitors in a service capacity...."
584,Information Desk,Ingalls Hospital,"Under the direct supervision of the Supervisor of Volunteer Services, the Information Desk Volunteer is responsible for greeting everyone..."
585,Senior Companion Program / Volunteer Companion,The Center of Concern,Senior Companion volunteers provide support and companionship to senior clients requiring additional assistance to continue living...
586,Arts Administration & Marketing,Arts of Life North Shore,Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a collective...
587,"Hospice Companion Visitor- Aurora, Naperville, Downers Grove",Heartland Hospice,Are you a good listener? Are you looking to serve your community with purpose? Become a Heartland Volunteer! Our Volunteers are the heart...
588,"Companion Visitor- Glen Ellyn, Wheaton, Lombard",Heartland Hospice,Are you a good listener? Are you looking to serve your community with purpose? Become a Heartland Volunteer! Our Volunteers are the heart...
589,"Mentor Teen Girls Various Locations Gurnee, Waukegan, Chicago,  Elgin",In Her Shoes Foundation,Group Mentor for Teen Girl Program/ Youth Coordinator The purpose of IHSF (In Her Shoes Foundation) is to empower and inspire every woman...
590,Greeter,Hinsdale Humane Society,Responsibilities: Greet the public in person at the shelter’s greeter desk. Requirements: 21 years of age; Excellent customer...
591,Dog Walking,Hinsdale Humane Society,"Dog Walker Volunteers must be 18+ years of age. Not used for Community Service. Exercise, basic training and provide companionship for..."
592,Cat Socialization,Hinsdale Humane Society,This position involves the socialization of cats at the shelter. Each session is 45-60 minutes per cat. Opportunities range from regular...
593,"Parent Leader - Harvey, IL",AWOFINC,"The primary criteria for recruiting these parent leaders will be their passion, desire, and enthusiasm for making positive changes in..."
594,"Parent Leader - Markham, IL",AWOFINC,"The primary criteria for recruiting these parent leaders will be their passion, desire, and enthusiasm for making positive changes in..."
595,Business Development Manager,In Her Shoes Foundation,Business Development Manager VOLUNTEER POSITION DESCRIPTION The Organization: In Her Shoes Foundation is a 501(c)3 organization that is...
596,Customer Service Donation & Consignment Shop (Saturday),Wellness House,"Position for the Courtyard, a donation/consignment shop of fine home furnishings and accessories to benefit the Wellness House. The..."
597,Reception/Front Desk volunteer needed (Saturdays),Wellness House,The end goal of this position is to help provide participants with a stress free experience as they utilize the services offered at...
598,"Meal Delivery in Phoenix, IL",Meals on Wheels Foundation of Northern Illinois,The Meals on Wheels Foundation of Northern Illinois is looking for volunteers to deliver meals to homebound seniors. We serve lunch every...
599,Cleaning Crew Needed!,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association offers inclusion assistance for children and adults who have disabilities within the 17 park...
600,4-H Volunteer,University of Illinois Extension - Cook County...,"We are looking for volunteers to serve as community club leaders, to serve as a project mentor in various project areas."
601,Volunteer at Forest View school in Mt. Prospect on Nov. 15,Junior Achievement of Chicago,Inspire K - 5th graders at Forest View elementary school in Mount Prospect by teaching Junior Achievement lessons! Junior Achievement is...
602,Darien area Home Hospice Patient Support Volunteer/Companion,Rainbow Hospice and Palliative Care,"Work near your home! As a Field Patient Care Volunteer, you will be assigned to support a hospice patient and their family in your..."
603,Lockport area Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and their family..."
604,Career Coach,"Northwest Compass, Inc.",Purpose/Objective: To provide an opportunity to the unemployed or underemployed clients in our Career Coaching Program to fine tune their...
605,Administrative Assistant,"Northwest Compass, Inc.","Experience and Skills Required: Looking for a full or part time volunteer who is motivated, project oriented, and has good communication..."
606,Be a Career speaker at Wheeling High School,Junior Achievement of Chicago,Wheeling High School AVID program runs a weekly Career Speakers Series throughout the school year. Come and share your career story....
607,Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
608,Call of Duty: Join our New Vet-to-Vet Volunteer Force!,V Care Hospice Services of Illinois,You've sacrificed. You've served. Now what? Continue supporting soldiers of all military branches by giving a small slice of time and...
609,Saturday Bowling Volunteer,The Center for Enriched Living,"The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve..."
610,Teach an Adult English; No Experience Needed.,Literacy DuPage,"Change Someone’s Future Bridge the language gap by tutoring an adult English! As a volunteer tutor, you will teach an adult to..."
611,Food Pantry Coordinator - The HOPE Center,JOURNEYS | The Road Home,JOURNEYS receives multiple food donations each week. As a food pantry coordinator you can help us maintain our food pantry by accepting...
612,Kitchen Assistant - The HOPE Center,JOURNEYS | The Road Home,The HOPE Center sees many clients on a daily basis. We have the wonderful opportunity to provide a hot meal for our clients at no cost....
613,Front Desk Assistant - The HOPE Center,JOURNEYS | The Road Home,Join our dedicated team of volunteers who are the first to welcome our clients into the HOPE Center. Front Desk Assistants are...
614,Overnight Shelter Volunteer - PADS Program,JOURNEYS | The Road Home,Volunteers are needed to cover the overnight shifts at the various PADS site throughout the regular and summer season! This is a great...
615,PADS Overnight Shelter Program - Food Donations,JOURNEYS | The Road Home,Do you have a passion for cooking? Do you enjoy preparing meals for large groups? This is the opportunity for you! Each of our 20 PADS...
616,"Retired, Professional, & Skilled Individuals needed as Hospice Volunteers!",Heartland Hospice,"Pleasant Greetings: Thank you for your interest in serving our Hospice Patients and Families. At Heartland Hospice, we help to enrich..."
617,Bi-lingual Men & Women are needed to visit Hospice Patients!,Heartland Hospice,"Do you read, speak, and understand English? Do you, also, speak and understand another Language? Heartland Hospice seeks Bi-lingual..."
618,Dog Handler,Almost Home Foundation,"AHF is looking for adults and seniors to handle one of our dogs at weekly adoption shows, usually at Petsmart. Come for an hour to give..."
619,Bridge Thrift Store Host,The Bridge Teen Center,"The Bridge Thrift Store is looking for a friendly person to welcome our guests, keep the front of the store organized, promote our..."
620,Hospice CareCenter Volunteer - Arlington Heights,JourneyCare,No experience necessary! Volunteer in your community and set your own schedule! JourneyCare is looking for volunteers to serve at our...
621,Team Care Coordinator Assist- Arlington Heights,JourneyCare,"Who is JourneyCare? The largest nonprofit provider of palliative, and supportive care in Illinois, JourneyCare serves nearly 4,000 adult..."
